Pratham Filter Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J 106, Ansa Industrial Estate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saki Vihar Road, Andheri ( East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai - 400072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone - 02242046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,
"10"" Blue L 3/4""",54.00 Nos,79.99,4319.46,93.00 Nos,141.64,13172.46,137.00 Nos,79.36,10871.82,40.00 Nos,146.00,5839.82,41.00 Nos,79.93,3277.14,81.00 Nos,158.36,12827.14,36.00 Nos,79.50,2862.00,66.00 Nos,134.27,8862.00,140.00 Nos,79.91,11186.77,58.00 Nos,133.57,7746.77,54.00 Nos,79.69,4303.26,91.00 Nos,138.28,12583.26,2.00 Nos,79.78,159.56,71.00 Nos,149.15,10589.56,10.00 Nos,79.69,796.90,31.00 Nos,169.25,5246.90,164.00 Nos,79.92,13107.50,151.00 Nos,115.48,17437.50,162.00 Nos,79.94,12949.56,56.00 Nos,84.10,4709.56,36.00 Nos,79.82,2873.52,67.00 Nos,149.16,9993.52,38.00 Nos,79.82,3033.28,131.00 Nos,168.27,22043.28
"10"" Blue V 1""",,,,,,,,,,1.00 Nos,400.00,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00 Nos,153.82,1384.38,,,
"10"" Blue V 1/2""",,,,1.00 Nos,250.00,250.00,,,,5.00 Nos,310.00,1550.00,,,,29.00 Nos,350.00,10150.00,40.00 Nos,200.00,8000.00,5.00 Nos,330.00,1650.00,10.00 Nos,194.80,1948.00,13.00 Nos,246.00,3198.00,,,,2.00 Nos,450.00,900.00,,,,,,,,,,10.00 Nos,350.00,3500.00,,,,17.00 Nos,397.06,6750.00,50.00 Nos,200.00,10000.00,,,,,,,2.00 Nos,350.00,700.00,,,,4.00 Nos,311.70,1246.79
"10"" Blue V 3/4""",61.00 Nos,199.41,12163.99,13.00 Nos,204.92,2663.99,,,,1.00 Nos,350.00,350.00,,,,,,,3.00 Nos,199.41,598.23,3.00 Nos,199.41,598.23,3.00 Nos,199.41,598.23,6.00 Nos,349.71,2098.23,13.00 Nos,199.41,2592.33,51.00 Nos,329.26,16792.33,112.00 Nos,199.98,22397.36,24.00 Nos,349.89,8397.36,14.00 Nos,199.78,2796.92,22.00 Nos,249.86,5496.92,,,,6.00 Nos,383.33,2300.00,,,,13.00 Nos,373.08,4850.00,,,,,,,11.00 Nos,199.66,2196.28,22.00 Nos,263.47,5796.40
"10"" Clear 3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00 Nos,220.00,1980.00,9.00 Nos,200.00,1800.00
"20"" BB L -1""",210.00 Nos,275.53,57861.36,155.00 Nos,325.43,50441.36,17.00 Nos,316.74,5384.55,101.00 Nos,355.45,35900.00,322.00 Nos,294.73,94901.72,185.00 Nos,353.79,65451.72,,,,191.00 Nos,309.16,59050.00,218.00 Nos,275.72,60106.96,45.00 Nos,358.82,16146.96,10.00 Nos,290.14,2901.40,31.00 Nos,493.59,15301.40,4.00 Nos,290.14,1160.56,72.00 Nos,353.62,25460.56,102.00 Nos,324.32,33080.28,47.00 Nos,462.35,21730.28,310.00 Nos,291.13,90250.00,197.00 Nos,339.59,66900.00,4.00 Nos,292.99,1171.96,143.00 Nos,250.85,35871.96,10.00 Nos,292.99,2929.90,107.00 Nos,326.45,34929.90,24.00 Nos,292.99,7031.76,69.00 Nos,359.74,24821.96
"20"" BB L 1.5""",214.00 Nos,276.16,59098.72,118.00 Nos,357.85,42226.72,20.00 Nos,318.33,6366.60,42.00 Nos,446.43,18750.00,308.00 Nos,294.67,90757.12,79.00 Nos,472.24,37307.12,8.00 Nos,292.79,2342.32,141.00 Nos,347.09,48939.32,214.00 Nos,275.33,58921.16,106.00 Nos,385.95,40911.16,6.00 Nos,288.38,1730.28,52.00 Nos,424.62,22080.28,16.00 Nos,288.38,4614.08,108.00 Nos,359.39,38814.08,112.00 Nos,321.35,35991.52,189.00 Nos,379.85,71791.52,326.00 Nos,291.03,94875.92,162.00 Nos,376.09,60925.92,,,,72.00 Nos,345.83,24900.00,,,,95.00 Nos,308.00,29260.00,23.00 Nos,297.80,6849.39,169.00 Nos,386.20,65267.05
"20"" BB V",,,,10.00 Nos,1499.50,14995.00,40.00 Nos,700.00,28000.00,24.00 Nos,847.50,20340.00,24.00 Nos,700.00,16800.00,50.00 Nos,813.30,40665.00,41.00 Nos,699.92,28696.65,14.00 Nos,1164.76,16306.65,8.00 Nos,699.46,5595.64,16.00 Nos,1662.23,26595.64,5.00 Nos,699.50,3497.50,10.00 Nos,848.25,8482.50,8.00 Nos,699.47,5595.76,14.00 Nos,1757.20,24600.76,64.00 Nos,699.97,44797.80,16.00 Nos,1927.36,30837.80,2.00 Nos,699.64,1399.28,55.00 Nos,924.44,50844.28,48.00 Nos,700.00,33600.00,16.00 Nos,1197.19,19155.00,,,,37.00 Nos,938.78,34735.00,32.00 Nos,699.91,22397.02,21.00 Nos,866.52,18196.89
"20"" BB V 1""",,,,,,,,,,42.00 Nos,694.64,29175.00,24.00 Nos,700.00,16800.00,26.00 Nos,719.23,18700.00,12.00 Nos,700.00,8400.00,21.00 Nos,700.00,14700.00,,,,,,,,,,15.00 Nos,793.33,11900.00,,,,3.00 Nos,950.00,2850.00,,,,,,,48.00 Nos,700.00,33600.00,27.00 Nos,609.26,16450.00,,,,,,,,,,21.00 Nos,721.43,15150.00,24.00 Nos,700.00,16800.00,3.00 Nos,1100.00,3300.00
"20"" BB XL 2""",,,,,,,12.00 Nos,1350.00,16200.00,13.00 Nos,4000.00,52000.00,,,,,,,12.00 Nos,1350.00,16200.00,1.00 Nos,3500.00,3500.00,1.00 Nos,1900.00,1900.00,12.00 Nos,3558.33,42700.00,12.00 Nos,1350.00,16200.00,2.00 Nos,3250.00,6500.00,,,,2.00 Nos,3500.00,7000.00,,,,4.00 Nos,3500.00,14000.00,,,,1.00 Nos,3500.00,3500.00,,,,,,,,,,4.00 Nos,2525.00,10100.00,,,,1.00 Nos,1363.75,1363.75
"20"" Blue L 1""",,,,17.00 Nos,166.41,2829.00,217.00 Nos,154.61,33550.06,24.00 Nos,215.63,5175.06,,,,178.00 Nos,169.66,30200.00,96.00 Nos,155.00,14880.00,96.00 Nos,165.00,15840.00,,,,,,,160.00 Nos,155.00,24800.00,96.00 Nos,155.00,14880.00,7.00 Nos,154.72,1083.04,11.00 Nos,262.09,2883.04,,,,37.00 Nos,174.59,6460.00,7.00 Nos,154.72,1083.04,109.00 Nos,237.41,25878.04,192.00 Nos,155.00,29760.00,16.00 Nos,155.00,2480.00,16.00 Nos,154.79,2476.64,70.00 Nos,159.09,11136.64,27.00 Nos,154.64,4175.22,20.00 Nos,183.63,3672.64
"20"" Blue L 1/2""",,,,59.00 Nos,208.14,12280.00,199.00 Nos,154.65,30775.00,,,,,,,,,,,,,32.00 Nos,155.00,4960.00,,,,,,,96.00 Nos,155.00,14880.00,96.00 Nos,155.00,14880.00,,,,,,,,,,3.00 Nos,350.00,1050.00,,,,32.00 Nos,155.00,4960.00,,,,,,,,,,16.00 Nos,155.00,2480.00,9.00 Nos,154.64,1391.76,2.00 Nos,152.14,304.28
"20"" Blue L 3/4""",3.00 Nos,151.70,455.10,133.00 Nos,180.94,24065.10,200.00 Nos,154.60,30920.00,4.00 Nos,455.00,1820.00,,,,4.00 Nos,350.00,1400.00,,,,49.00 Nos,177.55,8700.00,,,,4.00 Nos,300.00,1200.00,12.00 Nos,153.35,1840.20,14.00 Nos,202.87,2840.20,,,,44.00 Nos,256.36,11280.00,4.00 Nos,153.35,613.40,45.00 Nos,178.96,8053.40,177.00 Nos,154.98,27431.88,48.00 Nos,144.62,6941.88,,,,37.00 Nos,174.59,6460.00,16.00 Nos,153.90,2462.40,52.00 Nos,167.74,8722.40,,,,54.00 Nos,177.63,9591.92
"20"" Blue V 1""",36.00 Nos,300.00,10800.00,12.00 Nos,525.00,6300.00,,,,,,,24.00 Nos,300.00,7200.00,28.00 Nos,550.00,15400.00,,,,,,,,,,20.00 Nos,600.00,12000.00,36.00 Nos,300.00,10800.00,10.00 Nos,405.00,4050.00,36.00 Nos,300.00,10800.00,,,,,,,1.00 Nos,550.00,550.00,,,,,,,,,,22.00 Nos,540.91,11900.00,,,,31.00 Nos,308.06,9550.00,,,,18.00 Nos,295.65,5321.76
"20"" Blue V 1/2""",,,,,,,,,,4.00 Nos,450.00,1800.00,,,,30.00 Nos,470.00,14100.00,,,,,,,,,,,,,,,,,,,36.00 Nos,300.00,10800.00,,,,,,,,,,,,,,,,,,,6.00 Nos,450.00,2700.00,,,,,,,,,,26.00 Nos,512.10,13314.52
"20"" Blue V 3/4""",75.00 Nos,298.95,22421.40,33.00 Nos,479.44,15821.40,,,,3.00 Nos,533.33,1600.00,48.00 Nos,300.00,14400.00,12.00 Nos,500.00,6000.00,,,,15.00 Nos,500.00,7500.00,,,,28.00 Nos,505.36,14150.00,2.00 Nos,302.03,604.06,44.00 Nos,486.46,21404.06,36.00 Nos,300.00,10800.00,33.00 Nos,501.52,16550.00,48.00 Nos,300.00,14400.00,,,,48.00 Nos,300.00,14400.00,79.00 Nos,491.14,38800.00,144.00 Nos,300.00,43200.00,48.00 Nos,500.00,24000.00,,,,21.00 Nos,500.00,10500.00,4.00 Nos,300.73,1202.92,32.00 Nos,496.88,15900.00
"20"" Clear BB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 Nos,1277.00,1277.00,,,
"20"" PP Bag Assembly",,,,34.00 Nos,1035.29,35200.00,114.00 Nos,897.13,102272.82,1.00 Nos,1250.00,1250.00,,,,50.00 Nos,1464.00,73200.00,,,,98.00 Nos,824.99,80849.00,88.00 Nos,672.70,59197.44,18.00 Nos,1072.08,19297.44,1.00 Nos,759.04,759.04,30.00 Nos,1200.30,36009.04,,,,51.00 Nos,1013.73,51700.00,80.00 Nos,660.00,52800.00,22.00 Nos,852.27,18750.00,44.00 Nos,736.36,32400.00,67.00 Nos,1450.15,97160.00,,,,22.00 Nos,804.55,17700.00,20.00 Nos,660.00,13200.00,26.00 Nos,986.54,25650.00,108.00 Nos,704.11,76043.53,71.00 Nos,1271.60,90283.39
20 AC,1.00 Nos,3000.00,3000.00,1.00 Nos,3000.00,3000.00,,,,,,,,,,,,,,,,,,,,,,,,,2.00 Nos,1500.00,3000.00,2.00 Nos,1500.00,3000.00,,,,,,,,,,,,,8.00 Nos,1875.00,15000.00,8.00 Nos,4625.00,37000.00,,,,,,,,,,,,,,,,,,
20 AC BB,2.00 Nos,,,2.00 Nos,3000.00,6000.00,,,,,,,,,,,,,4.00 Nos,1750.00,7000.00,4.00 Nos,3500.00,14000.00,,,,,,,,,,,,,,,,,,,12.00 Nos,1020.84,12250.02,12.00 Nos,2187.50,26250.00,,,,,,,,,,,,,,,,,,,,,,,,
20NB TMF,192.00 Nos,510.00,97920.00,231.00 Nos,516.49,119310.00,124.00 Nos,510.00,63240.00,111.00 Nos,527.12,58510.00,2.00 Nos,510.00,1020.00,15.00 Nos,904.67,13570.00,52.00 Nos,510.00,26520.00,37.00 Nos,611.62,22630.00,2.00 Nos,510.00,1020.00,4.00 Nos,680.00,2720.00,11.00 Nos,510.00,5610.00,29.00 Nos,703.79,20410.00,52.00 Nos,510.00,26520.00,60.00 Nos,543.27,32596.00,252.00 Nos,510.00,128520.00,23.00 Nos,583.04,13410.00,,,,188.00 Nos,545.69,102590.00,144.00 Nos,510.00,73440.00,24.00 Nos,510.00,12240.00,,,,76.00 Nos,510.00,38760.00,1.00 Nos,510.00,510.00,160.00 Nos,538.56,86170.00
20NB TMF IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 Nos,263.81,791.43,,,
20NB TMF IMP AUTO,1.00 Nos,2576.50,2576.50,1.00 Nos,2576.50,2576.50,,,,1.00 Nos,3500.00,3500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20NB TMF P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00 Nos,616.00,6160.00,10.00 Nos,600.00,6000.00
20NB TMF W,96.00 Nos,550.00,52800.00,12.00 Nos,550.00,6600.00,54.00 Nos,550.00,29700.00,36.00 Nos,550.00,19800.00,2.00 Nos,550.00,1100.00,,,,,,,,,,,,,4.00 Nos,950.00,3800.00,,,,,,,,,,36.00 Nos,550.00,19800.00,,,,,,,,,,26.00 Nos,569.15,14798.00,,,,24.00 Nos,550.00,13200.00,48.00 Nos,550.00,26400.00,24.00 Nos,550.00,13200.00,,,,1.00 Nos,550.00,550.00
20NB TMS,65.00 Nos,630.04,40952.60,26.00 Nos,663.18,17242.60,77.00 Nos,630.27,48530.70,32.00 Nos,644.71,20630.70,,,,16.00 Nos,630.00,10080.00,,,,24.00 Nos,630.00,15120.00,,,,1.00 Nos,1050.00,1050.00,24.00 Nos,630.00,15120.00,,,,,,,,,,,,,4.00 Nos,950.00,3800.00,,,,27.00 Nos,707.41,19100.00,182.00 Nos,630.00,114660.16,4.00 Nos,777.54,3110.16,,,,20.00 Nos,651.00,13020.00,,,,64.00 Nos,510.29,32658.74
20NB TMS IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 Nos,511.91,1023.82
20NB TMS W,,,,,,,18.00 Nos,650.00,11700.00,,,,,,,2.00 Nos,800.00,1600.00,,,,,,,,,,,,,,,,1.00 Nos,1050.00,1050.00,,,,,,,1.00 Nos,650.00,650.00,2.00 Nos,774.50,1549.00,,,,1.00 Nos,899.00,899.00,,,,25.00 Nos,666.00,16650.00,,,,,,,,,,2.00 Nos,650.00,1300.00
20 RL,,,,,,,1.00 Nos,320.00,320.00,2.00 Nos,440.00,880.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 Nos,320.00,640.00,4.00 Nos,397.50,1590.00,,,,,,,,,,,,,,,,,,,,,,,,
20 RL BB,,,,,,,4.00 Nos,750.00,3000.00,4.00 Nos,1225.00,4900.00,,,,,,,,,,,,,1.00 Nos,750.00,750.00,2.00 Nos,1275.00,2550.00,,,,,,,3.00 Nos,750.00,2250.00,7.00 Nos,1307.14,9150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25NB SMF,,,,16.00 Nos,680.00,10880.00,,,,,,,96.00 Nos,680.00,65280.00,,,,,,,102.00 Nos,680.00,69360.00,,,,,,,,,,,,,,,,,,,,,,1.00 Nos,1450.00,1450.00,,,,,,,72.00 Nos,680.00,48960.00,72.00 Nos,680.00,48960.00,48.00 Nos,680.00,32640.00,,,,,,,48.00 Nos,680.00,32640.00
25NB SMS,,,,2.00 Nos,870.00,1740.00,,,,,,,96.00 Nos,870.00,83520.00,,,,,,,96.00 Nos,870.00,83520.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25NB TMF,604.00 Nos,680.00,410720.04,521.00 Nos,687.70,358290.04,492.00 Nos,680.00,334560.12,236.00 Nos,719.45,169790.12,256.00 Nos,680.00,174080.00,312.00 Nos,715.06,223100.00,1006.00 Nos,680.00,684080.00,616.00 Nos,694.17,427610.00,2.00 Nos,680.00,1360.00,62.00 Nos,817.58,50690.00,11.00 Nos,680.00,7480.00,235.00 Nos,697.83,163990.00,3.00 Nos,680.00,2040.00,101.00 Nos,764.36,77200.00,1005.00 Nos,680.00,683400.00,280.00 Nos,709.32,198610.00,5.00 Nos,680.00,3400.00,948.00 Nos,718.81,681430.00,1012.00 Nos,680.00,688160.00,352.00 Nos,695.82,244930.00,6.00 Nos,680.00,4080.00,393.00 Nos,696.51,273730.00,11.00 Nos,680.00,7480.00,344.00 Nos,687.44,236480.00
25NB TMF IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 Nos,458.00,916.00,1.00 Nos,1375.00,1375.00
25NB TMF IMP AUTO,,,,2.00 Nos,4300.00,8600.00,1.00 Nos,2731.75,2731.75,1.00 Nos,2731.75,2731.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 Nos,2371.75,9487.00,,,
25NB TMF P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 Nos,867.00,867.00
25NB TMF W,120.00 Nos,800.00,96000.00,84.00 Nos,800.00,67200.00,120.00 Nos,800.00,96000.00,3.00 Nos,1099.00,3297.00,,,,122.00 Nos,801.64,97800.00,,,,60.00 Nos,800.00,48000.00,120.00 Nos,800.00,96000.00,64.00 Nos,821.88,52600.00,72.00 Nos,800.00,57600.00,72.00 Nos,804.15,57899.00,,,,48.00 Nos,800.00,38400.00,,,,1.00 Nos,1099.00,1099.00,96.00 Nos,800.00,76800.00,74.00 Nos,805.41,59600.00,120.00 Nos,800.00,96000.00,94.00 Nos,800.00,75200.00,,,,84.00 Nos,800.00,67200.00,,,,14.00 Nos,800.00,11200.00
25NB TMS,120.00 Nos,845.00,101400.00,49.00 Nos,849.18,41610.00,8.00 Nos,910.88,7287.04,70.00 Nos,853.00,59710.00,50.00 Nos,845.00,42250.00,7.00 Nos,1027.14,7190.00,,,,47.00 Nos,885.96,41640.00,48.00 Nos,845.00,40560.00,2.00 Nos,1250.00,2500.00,103.00 Nos,845.15,87050.40,31.00 Nos,896.14,27780.40,,,,3.00 Nos,1250.00,3750.00,52.00 Nos,845.11,43945.64,24.00 Nos,862.32,20695.64,1.00 Nos,846.25,846.25,181.00 Nos,830.48,150316.25,120.00 Nos,845.00,101400.00,31.00 Nos,872.90,27060.00,,,,52.00 Nos,847.02,44045.00,5.00 Nos,846.42,4232.10,64.00 Nos,882.33,56469.26
25NB TMS IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 Nos,675.40,2026.20,,,
25NB TMS IMP AUTO,1.00 Nos,3176.90,3176.90,1.00 Nos,3176.90,3176.90,,,,,,,1.00 Nos,3191.55,3191.55,3.00 Nos,4397.18,13191.55,,,,1.00 Nos,5500.00,5500.00,,,,,,,,,,,,,1.00 Nos,3191.55,3191.55,2.00 Nos,3845.78,7691.55,,,,,,,,,,,,,,,,,,,,,,,,,2.00 Nos,2961.65,5923.30,3.00 Nos,3474.43,10423.30
25NB TMS P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 Nos,858.67,2576.00,2.00 Nos,800.00,1600.00
25NB TMS W,48.00 Nos,900.00,43200.00,2.00 Nos,1250.00,2500.00,7.00 Nos,900.00,6300.00,,,,,,,2.00 Nos,1224.50,2449.00,,,,17.00 Nos,900.00,15300.00,,,,12.00 Nos,1016.67,12200.00,,,,1.00 Nos,1000.00,1000.00,,,,,,,,,,1.00 Nos,1199.00,1199.00,24.00 Nos,900.00,21600.00,12.00 Nos,900.00,10800.00,,,,30.00 Nos,900.00,27000.00,,,,12.00 Nos,900.00,10800.00,,,,1.00 Nos,900.00,900.00
30 AC,24.00 Nos,3000.00,72000.00,12.00 Nos,3000.00,36000.00,6.00 Nos,3000.00,18000.00,18.00 Nos,4250.00,76500.00,,,,,,,24.00 Nos,2750.00,66000.00,24.00 Nos,3500.00,84000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
